y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals
Y80,4.5397870662530495e-05,2.168444791395611e-06,6.320152216062477e-06,22
Y390,0.208306004342445,2.1683507524177113e-06,1.8903029996625378e-08,281
Y273,4.5397870662530495e-05,2.1683507524177113e-06,2.8887749896094656e-06,70
Y739,0.07515415705330104,2.1683507524177113e-06,1.798842935496799e-06,54
Y634,0.7526378937854381,2.1683507524177113e-06,2.361700530079459e-06,327
Y585,0.6959325731335786,2.1683507524177113e-06,7.224603408141849e-06,327
Y1292,4.5397870662530495e-05,2.1683507524177113e-06,1.441435837164877e-06,47
Y126,0.5455673872246015,2.1683507524177113e-06,9.340974524712248e-07,71
Y1276,4.5397870662530495e-05,2.1683507524177113e-06,2.9084158260665133e-08,47
Y561,0.36625736084887744,2.1683507524177113e-06,9.029940748232805e-14,327
Y615,0.7530952398586775,2.1683507524177113e-06,1.2311527894471205e-19,327
Y718,0.048731723290716664,2.1683507524177113e-06,3.9087509655378756e-07,57
Y355,0.018901393119970078,2.1683507524177113e-06,1.2534095105603376e-06,34
Y559,0.8410910188522372,2.1683507524177113e-06,3.903822911449406e-06,327
Y553,0.7944876997673939,2.1683507524177113e-06,3.6180084938251695e-06,327
Y524,4.5397870662530495e-05,2.1683507524177113e-06,2.2451583797151398e-06,337
Y114,0.03307106964184271,2.1683507524177113e-06,5.649704026074643e-06,66
Y627,0.8429219102113509,2.1683507524177113e-06,5.420754939634971e-06,327
Y93,4.5397870662530495e-05,2.1683507524177113e-06,2.0784636968457346e-06,27
Y383,4.53978706625305e-05,2.1683507524177113e-06,1.4005288163190372e-06,35
Y77,4.5397870662530495e-05,2.1683507524177113e-06,1.4032071936500176e-06,27
Y99,4.5397870662530495e-05,2.1683507524177113e-06,2.1397130002394175e-09,55
Y389,0.04333964664041894,2.1683507524177113e-06,2.120326848775254e-07,276
Y367,4.5397870662530495e-05,2.168444791395611e-06,7.165167567740963e-06,33
Y284,4.5397870662530495e-05,2.1683507524177113e-06,1.0005142099720728e-10,70
Y720,0.13452798426617907,2.1683507524177113e-06,4.936514254399644e-06,57
Y620,0.861302410286445,2.1683507524177113e-06,1.2864438542144644e-06,327
Y94,4.5397870662530495e-05,2.1683507524177113e-06,1.4257087307433094e-06,22
Y289,0.09110122046197723,2.1691973969631237e-06,4.605187736791852e-06,34
Y384,4.5397870662530495e-05,2.1683507524177113e-06,3.5356187631083237e-06,35
Y70,0.10961136155072812,2.1683507524177113e-06,1.8413426915767833e-06,55
Y283,4.539787066253049e-05,2.1683507524177113e-06,2.6495867862547228e-08,70
