y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y753,0.2244609352218832,2.1683507524177117e-06,1.6226943105084657e-06,149,1
Y724,0.0177826636640751,2.1683507524177117e-06,9.106750961289666e-15,57,0
Y629,0.7901469736381744,2.1683507524177117e-06,1.7667643855244538e-06,325,5
Y363,4.53978706625305e-05,2.168444791395611e-06,1.4063546206643024e-06,33,0
Y280,4.5397870662530495e-05,2.1683507524177117e-06,3.499368265039076e-06,70,0
Y73,4.5397870662530495e-05,2.1683507524177117e-06,1.4095473695797198e-08,27,0
Y369,4.5397870662530495e-05,2.168444791395611e-06,7.605236228480273e-06,33,0
Y387,0.0077297673544901,2.1683507524177117e-06,8.357158235130233e-07,35,0
Y97,0.0657197187963039,2.1683507524177117e-06,1.795752241933651e-06,26,0
Y79,4.5397870662530495e-05,2.1683507524177117e-06,3.781855350398874e-07,27,0
Y623,0.7416959240177126,2.1683507524177117e-06,3.868659680336063e-06,327,3
Y565,0.8057808490055951,2.1683507524177117e-06,1.1951129127578584e-06,327,4
Y1308,4.5397870662530495e-05,2.168444791395611e-06,4.100177820077498e-07,52,0
Y1272,4.5397870662530495e-05,2.1683507524177117e-06,2.685321043551141e-08,42,0
Y122,0.1965365643987866,2.1683507524177117e-06,2.0995697659545397e-06,65,0
Y1278,4.5397870662530495e-05,2.1683507524177117e-06,1.8298873521445169e-06,47,0
Y128,0.2360090101906327,2.1683507524177117e-06,4.876456335663207e-06,94,0
Y581,0.632120749875577,2.1683507524177117e-06,9.049511656426792e-07,327,0
Y518,0.0216408146467507,2.1683507524177117e-06,5.773476453094386e-07,337,0
Y36,4.5397870662530495e-05,2.1683507524177117e-06,1.1868327990632669e-11,55,0
Y326,0.5115807417432114,2.168915108662647e-06,2.859903854572103e-06,36,1
Y611,0.5547664997696935,2.1683507524177117e-06,1.964958443839449e-06,327,7
Y109,0.0841227750727745,2.1683507524177117e-06,1.821459450992452e-06,88,0
Y539,0.1759989538064021,2.1683507524177117e-06,7.310612604424786e-07,337,0
Y544,0.6657390807074688,2.1683507524177117e-06,1.1749278063949715e-06,327,3
Y533,4.5397870662530495e-05,2.1683507524177117e-06,3.4152658065942148e-06,337,0
Y103,0.3499677990119522,2.1683507524177117e-06,4.841094066336636e-08,55,0
Y630,0.8545006281478458,2.1683507524177117e-06,1.880498832651458e-06,327,14
Y277,0.1837638954933958,2.1683507524177117e-06,8.62558300353983e-07,70,0
Y84,0.1386320036391098,2.1683507524177117e-06,4.136112934695492e-06,55,0
Y370,4.5397870662530495e-05,2.1683507524177117e-06,6.229822574713178e-08,34,2
Y293,4.539787066253049e-05,2.1696680407897594e-06,1.1306825215513147e-06,33,0
Y17,4.5397870662530495e-05,2.1683507524177117e-06,1.462247939380224e-05,26,0
Y740,0.1204320515961166,2.1683507524177117e-06,1.385282093655095e-05,57,0
Y737,4.539787066253049e-05,2.1683507524177117e-06,2.8488528033844805e-06,57,0
Y592,0.736057555335446,2.1683507524177117e-06,4.035713402921128e-09,327,2
Y1311,0.2289161169577389,2.1683507524177117e-06,4.398447539727486e-06,41,0
Y1285,4.5397870662530495e-05,2.1683507524177117e-06,5.565413582638295e-06,42,0
Y131,0.2412262553986496,2.1683507524177117e-06,6.7652894053606665e-06,94,1
Y576,0.593011319152576,2.1683507524177117e-06,4.9595034007277065e-06,327,5
Y598,0.7832663121090975,2.1683507524177117e-06,5.005665381726858e-06,327,1
Y5,4.5397870662530495e-05,2.1683507524177117e-06,1.428787825840614e-07,27,0
Y602,0.8520527195552743,2.1683507524177117e-06,1.1888139498822154e-06,327,1
Y608,0.3634437940476235,2.1683507524177117e-06,3.775130085712657e-08,327,1
Y705,0.7292620469894604,2.1683507524177117e-06,7.236533419276943e-08,604,13
Y25,4.539787066253049e-05,2.1683507524177117e-06,2.735367850896662e-06,27,0
Y572,0.8366887908960412,2.1683507524177117e-06,2.4600904095774747e-06,326,5
Y135,0.1754984155004321,2.1683507524177117e-06,3.4303523394779725e-06,85,1
Y1281,0.6608542819392886,2.1683507524177117e-06,5.760480121011149e-10,42,0
Y1315,4.5397870662530495e-05,2.1683507524177117e-06,4.685167067089598e-06,40,0
Y596,0.8433469708862948,2.1683507524177117e-06,1.260997374818136e-06,327,5
Y578,0.4968599879855023,2.1683507524177117e-06,1.7549204276130617e-06,327,2
Y21,0.4715999910843717,2.1683507524177117e-06,1.5671164237113425e-06,55,0
Y701,0.9004915755080728,2.1683507524177117e-06,4.329226658940999e-06,618,32
Y606,0.2665677356268348,2.1683507524177117e-06,1.8731749136979023e-11,327,0
Y107,0.080297968810384,2.1683507524177117e-06,4.576489511952048e-06,55,0
Y540,4.53978706625305e-05,2.1683507524177117e-06,6.23679619410327e-08,329,0
Y537,0.0375679596734193,2.1683507524177117e-06,4.562713784301755e-11,126,0
Y744,0.1622829059458528,2.1683507524177117e-06,2.5291854884598853e-06,57,0
Y733,0.0505909826381314,2.1683507524177117e-06,1.1410191492420255e-06,56,0
Y13,0.3619272601831529,2.1683507524177117e-06,1.2838882086800212e-06,27,0
Y64,4.5397870662530495e-05,2.1683507524177117e-06,3.195289567158433e-06,27,0
Y374,0.6892993848531657,2.1683507524177117e-06,2.6709932658791787e-10,34,0
Y279,0.3620752717969179,2.1683507524177117e-06,1.2017595501428312e-08,70,0
Y80,4.5397870662530495e-05,2.168444791395611e-06,6.320152216062477e-06,22,0
Y390,0.208306004342445,2.1683507524177117e-06,1.8903029996625378e-08,281,2
Y273,4.5397870662530495e-05,2.1683507524177117e-06,2.8887749896094656e-06,70,0
Y739,0.075154157053301,2.1683507524177117e-06,1.798842935496799e-06,54,0
Y634,0.7526378937854381,2.1683507524177117e-06,2.361700530079459e-06,327,1
